Time	Close	Long	Short
2018-01-05 03:39:00	0.17889059249625855	1	1
2018-01-05 03:40:00	0.17864937017792115	1	1
2018-01-05 03:41:00	0.17842178479969076	1	1
2018-01-05 03:42:00	0.17842178479969076	1	1
2018-01-05 03:43:00	0.17878558805743455	1	1
2018-01-05 03:44:00	0.17757159734479683	1	1
2018-01-05 03:45:00	0.1783152651452993	1	1
2018-01-05 03:46:00	0.1785428505235297	1	1
2018-01-05 03:47:00	0.17883074148134442	1	1
2018-01-05 03:48:00	0.17871543357666178	1	1
2018-01-05 03:49:00	0.17875498070297213	1	1
2018-01-05 03:50:00	0.17913348155172013	1	1
2018-01-05 03:51:00	0.17894150373932471	1	1
2018-01-05 03:52:00	0.17869058404135568	1	1
2018-01-05 03:53:00	0.17857330635643537	1	1
2018-01-05 03:54:00	0.17908817660625348	1	1
2018-01-05 03:55:00	0.17905756925179106	1	1
2018-01-05 03:56:00	0.17903378036738218	1	1
2018-01-05 03:57:00	0.17913378459483362	1	1
2018-01-05 03:58:00	0.17908832812781023	1	1
2018-01-05 03:59:00	0.1789121085573163	1	1
2018-01-05 04:00:00	0.1791340876379471	1	1
2018-01-05 04:01:00	0.1792853061515782	1	1
2018-01-05 04:02:00	0.17974653777030877	1	1
2018-01-05 04:03:00	0.17969395979011837	1	1
2018-01-05 04:04:00	0.17987624022288212	1	1
2018-01-05 04:05:00	0.179908362792912	1	1
2018-01-05 04:06:00	0.17989124085699984	1	1
2018-01-05 04:07:00	0.18007230911730965	1	1
2018-01-05 04:08:00	0.18019443549204578	1	1
2018-01-05 04:09:00	0.18019428397048903	1	1
2018-01-05 04:10:00	0.18019443549204578	1	1
2018-01-05 04:11:00	0.18019458701360253	1	1
2018-01-05 04:12:00	0.18027019627041807	1	3
2018-01-05 04:13:00	0.1798907862923296	1	1
2018-01-05 04:14:00	0.179739870821812	1	1
2018-01-05 04:15:00	0.17942167555264835	1	1
2018-01-05 04:16:00	0.1791187839607159	1	1
2018-01-05 04:17:00	0.1791184809176024	1	1
2018-01-05 04:18:00	0.1791187839607159	1	1
2018-01-05 04:19:00	0.17907332749369254	1	1
2018-01-05 04:20:00	0.17866406776892538	1	1
2018-01-05 04:21:00	0.17867921992459984	1	1
2018-01-05 04:22:00	0.17875013201315632	1	1
2018-01-05 04:23:00	0.17905787229490458	1	1
2018-01-05 04:24:00	0.17883074148134442	1	1
2018-01-05 04:25:00	0.1790569631655641	1	1
2018-01-05 04:26:00	0.17802161636832828	1	1
2018-01-05 04:27:00	0.17605820003603181	1	1
2018-01-05 04:28:00	0.17624669285262207	1	1
2018-01-05 04:29:00	0.17595168038164036	1	1
2018-01-05 04:30:00	0.1759518319031971	1	1
2018-01-05 04:31:00	0.17639124441775644	1	1
2018-01-05 04:32:00	0.17620926702810616	1	1
2018-01-05 04:33:00	0.17589107175894253	1	1
2018-01-05 04:34:00	0.17566378942382563	1	1
2018-01-05 04:35:00	0.17564863726815116	1	1
2018-01-05 04:36:00	0.17590955738886535	1	1
2018-01-05 04:37:00	0.1759092543457519	1	1
2018-01-05 04:38:00	0.1759097089104221	1	1
2018-01-05 04:39:00	0.1762542689304593	1	1
2018-01-05 04:40:00	0.17607289762703604	1	1
2018-01-05 04:41:00	0.17608259500666767	1	1
2018-01-05 04:42:00	0.1759518319031971	1	1
2018-01-05 04:43:00	0.17625472349512955	1	1
2018-01-05 04:44:00	0.17716400435715388	1	1
2018-01-05 04:45:00	0.17731976851748732	1	1
2018-01-05 04:46:00	0.17739128669227078	1	1
2018-01-05 04:47:00	0.17732007156060078	1	1
2018-01-05 04:48:00	0.1775123524161097	1	1
2018-01-05 04:49:00	0.1775120493729962	1	1
2018-01-05 04:50:00	0.17717915651282834	1	1
2018-01-05 04:51:00	0.177300373758224	1	1
2018-01-05 04:52:00	0.17739128669227078	1	1
2018-01-05 04:53:00	0.17701248280040927	1	1
2018-01-05 04:54:00	0.17686096124366468	1	1
2018-01-05 04:55:00	0.1764821573518032	1	1
2018-01-05 04:56:00	0.17716400435715388	1	1
2018-01-05 04:57:00	0.17663398195166127	1	1
2018-01-05 04:58:00	0.1774037114599238	1	1
2018-01-05 04:59:00	0.1767101972947038	1	1
2018-01-05 05:00:00	0.17679701914671847	1	1
2018-01-05 05:01:00	0.17683095997542925	1	1
2018-01-05 05:02:00	0.1775112917652125	1	1
2018-01-05 05:03:00	0.17751083720054225	1	1
2018-01-05 05:04:00	0.17739143821382752	1	1
2018-01-05 05:05:00	0.1775112917652125	1	1
2018-01-05 05:06:00	0.17743674315929414	1	1
2018-01-05 05:07:00	0.17761856902738765	1	1
2018-01-05 05:08:00	0.17761856902738765	1	1
2018-01-05 05:09:00	0.17740280233058336	1	1
2018-01-05 05:10:00	0.17672459184259454	1	1
2018-01-05 05:11:00	0.17667883233245768	1	1
2018-01-05 05:12:00	0.17657003985471503	1	1
2018-01-05 05:13:00	0.17697475393277987	1	1
2018-01-05 05:14:00	0.17693596441425327	1	1
2018-01-05 05:15:00	0.17643745849256354	1	1
2018-01-05 05:16:00	0.17716400435715388	1	1
2018-01-05 05:17:00	0.176739743998269	1	1
2018-01-05 05:18:00	0.17640639657343088	1	1
2018-01-05 05:19:00	0.17663367890854778	1	1
2018-01-05 05:20:00	0.17663367890854778	1	1
2018-01-05 05:21:00	0.1770856677123169	1	1
2018-01-05 05:22:00	0.17730310114624542	1	1
2018-01-05 05:23:00	0.17682474759160274	1	1
2018-01-05 05:24:00	0.17683065693231576	1	1
2018-01-05 05:25:00	0.17698217848906037	1	1
2018-01-05 05:26:00	0.17686096124366468	1	1
2018-01-05 05:27:00	0.17690672075380157	1	1
2018-01-05 05:28:00	0.17714597329190127	1	1
2018-01-05 05:29:00	0.17714854915836592	1	1
2018-01-05 05:30:00	0.1771488522014794	1	1
2018-01-05 05:31:00	0.17729946462888355	1	1
2018-01-05 05:32:00	0.17730310114624542	1	1
2018-01-05 05:33:00	0.17766296484351382	1	1
2018-01-05 05:34:00	0.17790645998520238	1	1
2018-01-05 05:35:00	0.17790630846364563	1	1
2018-01-05 05:36:00	0.17761932663517138	1	1
2018-01-05 05:37:00	0.17816389511011146	1	1
2018-01-05 05:38:00	0.17836147922010642	1	1
2018-01-05 05:39:00	0.17905802381646133	1	1
2018-01-05 05:40:00	0.17916408890618254	1	1
2018-01-05 05:41:00	0.17981214660437916	1	3
2018-01-05 05:42:00	0.17966426156499646	1	1
2018-01-05 05:43:00	0.1796641100434397	1	1
2018-01-05 05:44:00	0.17943697922987956	1	1
2018-01-05 05:45:00	0.17937561299939797	1	1
2018-01-05 05:46:00	0.1792719722545847	1	1
2018-01-05 05:47:00	0.17931561046292713	1	1
2018-01-05 05:48:00	0.17931651959226758	1	1
2018-01-05 05:49:00	0.17961865357641632	1	1
2018-01-05 05:50:00	0.17958850078662414	1	1
2018-01-05 05:51:00	0.17963380573209078	1	1
2018-01-05 05:52:00	0.17963380573209078	1	1
2018-01-05 05:53:00	0.1797395677786985	1	1
2018-01-05 05:54:00	0.17972471866613754	1	1
2018-01-05 05:55:00	0.17940909926343854	1	1
2018-01-05 05:56:00	0.17883074148134442	1	1
2018-01-05 05:57:00	0.17873998006885441	1	1
2018-01-05 05:58:00	0.1792550018402293	1	1
2018-01-05 05:59:00	0.1794368277083228	1	1
2018-01-05 06:00:00	0.17908832812781023	1	1
2018-01-05 06:01:00	0.17913378459483362	1	1
2018-01-05 06:02:00	0.17913378459483362	1	1
2018-01-05 06:03:00	0.17913378459483362	1	1
2018-01-05 06:04:00	0.17905802381646133	1	1
2018-01-05 06:05:00	0.17898241455964578	1	1
2018-01-05 06:06:00	0.17898256608120253	1	1
2018-01-05 06:07:00	0.17898256608120253	1	1
2018-01-05 06:08:00	0.17937621908562495	1	1
2018-01-05 06:09:00	0.17925515336178605	1	1
2018-01-05 06:10:00	0.17927015399590376	1	1
2018-01-05 06:11:00	0.17943728227299305	1	1
2018-01-05 06:12:00	0.17929091244917778	1	1
2018-01-05 06:13:00	0.17928515463002145	1	1
